,name,description,units,valid values,var_type,min,max
0,all0000,Total number of trades including collections and indeterminates,Trades,0-90,numeric,0,90
1,all0060,"Total number of trades excluding collections opened after the most recent trade derogatory (including collections and indeterminates), or public record bankruptcy",Trades,0-90,numeric,0,90
2,all0061,"Total number of trades excluding collections opened after the most recent trade derogatory (excluding collections and including indeterminates), or public record bankruptcy",Trades,0-90,numeric,0,90
3,all0101,Total number of Fannie Mae trades including indeterminates,Trades,0-90,numeric,0,90
4,all0200,Total number of trades including collections,Trades,0-90,numeric,0,90
5,all0201,Total number of trades credit grantor cannot locate consumer including collections,Trades,0-90,numeric,0,90
6,all0206,Total number of trades legally paid in full for less than the full balance including collections,Trades,0-90,numeric,0,90
7,all0217,Total number of trades reported in the last 12 months including collections,Trades,0-90,numeric,0,90
8,all0300,Total number of trades excluding collections,Trades,0-90,numeric,0,90
9,all0303,Total number of trades under a non-government loan modification plan excluding collections,Trades,0-90,numeric,0,90
10,all0305,Total number of debt counseling trades excluding collections,Trades,0-90,numeric,0,90
11,all0316,Total number of trades reported in the last 6 months excluding collections,Trades,0-90,numeric,0,90
12,all0318,Total number of trades reported in the last 24 months excluding collections,Trades,0-90,numeric,0,90
13,all0336,Total number of trades opened in the last 6 months excluding collections,Trades,0-90,numeric,0,90
14,all0437,Total number of open trades opened in the last 12 months ,Trades,0-90,numeric,0,90
15,all0438,Total number of open trades opened in the last 24 months ,Trades,0-90,numeric,0,90
16,all0446,Total number of open trades opened at least 6 months reported in the last 6 months ,Trades,0-90,numeric,0,90
17,all0448,Total number of open trades opened at least 24 months reported in the last 6 months,Trades,0-90,numeric,0,90
18,all0700,Total number of closed trades excluding collections,Trades,0-90,numeric,0,90
19,all0726,Total number of trades closed by credit grantor in the last 6 months excluding collections,Trades,0-90,numeric,0,90
20,all0900,Total number of trades affected by natural disaster excluding collections,Trades,0-90,numeric,0,90
21,all1302,Total number of trades under a government loan modification plan never delinquent or derogatory,Trades,0-90,numeric,0,90
22,all1360,Total number of trades never delinquent or derogatory occurred in the last 6 months,Trades,0-90,numeric,0,90
23,all1370,Total number of trades never delinquent or derogatory occurred in the last 12 months,Trades,0-90,numeric,0,90
24,all1380,Total number of trades never delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
25,all2000,Total number of open trades presently satisfactory reported in the last 6 months ,Trades,0-90,numeric,0,90
26,all2001,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory including collections,Trades,0-90,numeric,0,90
27,all2002,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory reported in the last 6 months including collections,Trades,0-90,numeric,0,90
28,all2003,Total number of trades presently satisfactory and with maximum delinquency of 30 days 1 or 2 times that occurred in the last 12 months,Trades,0-90,numeric,0,90
29,all2004,Total number of trades presently satisfactory and with maximum delinquency of 30 days that occurred in the last 12 months,Trades,0-90,numeric,0,90
30,all2005,Total number of open trades presently satisfactory reported in the last 6 months and opened 12 months or older,Trades,0-90,numeric,0,90
31,all2006,Total number of trades presently satisfactory and with maximum delinquency of 30 days that occurred more than 12 months ago,Trades,0-90,numeric,0,90
32,all2008,"Total number of trades never delinquent or derogatory opened after the most recent trade derogatory (excluding collections and including indeterminates), or public record bankruptcy",Trades,0-90,numeric,0,90
33,all2009,"Total number of trades never delinquent or derogatory opened after the most recent trade derogatory (including collections and indeterminates), or public record bankruptcy",Trades,0-90,numeric,0,90
34,all2011,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory excluding collections,Trades,0-90,numeric,0,90
35,all2012,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory reported in the last 6 months excluding collections,Trades,0-90,numeric,0,90
36,all2116,Total number of trades presently 30-180 days delinquent reported in the last 6 months ,Trades,0-90,numeric,0,90
37,all2136,Total number of trades presently 60 days delinquent reported in the last 6 months ,Trades,0-90,numeric,0,90
38,all2146,Total number of trades presently 60-180 days delinquent reported in the last 6 months ,Trades,0-90,numeric,0,90
39,all2166,Total number of trades presently 90 days delinquent reported in the last 6 months ,Trades,0-90,numeric,0,90
